floor_id,min_point,max_point
1,100,300
2,270,490
3,440,680
4,610,870
5,780,1060
6,950,1250
7,1120,1440
8,1290,1630
9,1460,1820
10,1630,2010
11,1800,2200
12,1870,2390
13,2140,2580
14,2310,2770
15,2480,2960
16,2650,3150
17,2820,3340
18,2990,3530
19,3160,3720
20,3330,3910
21,100,300
22,270,490
23,440,680
24,610,870
25,780,1060
26,950,1250
27,1120,1440
28,1290,1630
29,1460,1820
30,1630,2010
31,1800,2200
32,1870,2390
33,2140,2580
34,2310,2770
35,2480,2960
36,2650,3150
37,2820,3340
38,2990,3530
39,3160,3720
40,3330,3910
41,100,300
42,270,490
43,440,680
44,610,870
45,780,1060
46,950,1250
47,1120,1440
48,1290,1630
49,1460,1820
50,1630,2010
51,1800,2200
52,1870,2390
53,2140,2580
54,2310,2770
55,2480,2960
56,2650,3150
57,2820,3340
58,2990,3530
59,3160,3720
60,3330,3910
61,100,300
62,270,490
63,440,680
64,610,870
65,780,1060
66,950,1250
67,1120,1440
68,1290,1630
69,1460,1820
70,1630,2010
71,1800,2200
72,1870,2390
73,2140,2580
74,2310,2770
75,2480,2960
76,2650,3150
77,2820,3340
78,2990,3530
79,3160,3720
80,3330,3910
