floor_id,wave,monster1_id,monster1_level,monster1_count,monster2_id,monster2_level,monster2_count,monster3_id,monster3_level,monster3_count,monster4_id,monster4_level,monster4_count,has_boss
1,1,206006,1,1,206000,1,2,,,,,,,1
2,1,206006,1,1,206000,1,2,,,,,,,1
3,1,206006,1,1,206000,1,1,206005,1,1,,,,1
4,1,206006,1,1,206000,1,1,206005,1,1,,,,1
5,1,211000,1,1,206005,1,2,,,,,,,1
6,1,206006,1,1,206000,1,2,,,,,,,1
7,1,206006,1,1,206000,1,2,,,,,,,1
8,1,206006,1,1,206000,1,1,206005,1,1,,,,1
9,1,206006,1,1,206000,1,1,206005,1,1,,,,1
10,1,211000,1,1,206005,1,2,,,,,,,1
11,1,206006,1,1,206000,1,2,,,,,,,1
12,1,206006,1,1,206000,1,2,,,,,,,1
13,1,206006,1,1,206000,1,1,206005,1,1,,,,1
14,1,206006,1,1,206000,1,1,206005,1,1,,,,1
15,1,211000,1,1,206005,1,2,,,,,,,1
16,1,206006,1,1,206000,1,2,,,,,,,1
17,1,206006,1,1,206000,1,2,,,,,,,1
18,1,206006,1,1,206000,1,1,206005,1,1,,,,1
19,1,206006,1,1,206000,1,1,206005,1,1,,,,1
20,1,211000,1,1,206005,1,2,,,,,,,1
21,1,207004,1,1,207001,1,2,,,,,,,1
22,1,207004,1,1,207001,1,2,,,,,,,1
23,1,207004,1,1,207001,1,1,207002,1,1,,,,1
24,1,207004,1,1,207001,1,1,207002,1,1,,,,1
25,1,211001,1,1,207002,1,2,,,,,,,1
26,1,207004,1,1,207001,1,2,,,,,,,1
27,1,207004,1,1,207001,1,2,,,,,,,1
28,1,207004,1,1,207001,1,1,207002,1,1,,,,1
29,1,207004,1,1,207001,1,1,207002,1,1,,,,1
30,1,211001,1,1,207002,1,2,,,,,,,1
31,1,207004,1,1,207001,1,2,,,,,,,1
32,1,207004,1,1,207001,1,2,,,,,,,1
33,1,207004,1,1,207001,1,1,207002,1,1,,,,1
34,1,207004,1,1,207001,1,1,207002,1,1,,,,1
35,1,211001,1,1,207002,1,2,,,,,,,1
36,1,207004,1,1,207001,1,2,,,,,,,1
37,1,207004,1,1,207001,1,2,,,,,,,1
38,1,207004,1,1,207001,1,1,207002,1,1,,,,1
39,1,207004,1,1,207001,1,1,207002,1,1,,,,1
40,1,211001,1,1,207002,1,2,,,,,,,1
41,1,208005,1,1,208000,1,2,,,,,,,1
42,1,208005,1,1,208000,1,2,,,,,,,1
43,1,208005,1,1,208000,1,1,208003,1,1,,,,1
44,1,208005,1,1,208000,1,1,208003,1,1,,,,1
45,1,211002,1,1,208003,1,2,,,,,,,1
46,1,208005,1,1,208000,1,2,,,,,,,1
47,1,208005,1,1,208000,1,2,,,,,,,1
48,1,208005,1,1,208000,1,1,208003,1,1,,,,1
49,1,208005,1,1,208000,1,1,208003,1,1,,,,1
50,1,211002,1,1,208003,1,2,,,,,,,1
51,1,208005,1,1,208000,1,2,,,,,,,1
52,1,208005,1,1,208000,1,2,,,,,,,1
53,1,208005,1,1,208000,1,1,208003,1,1,,,,1
54,1,208005,1,1,208000,1,1,208003,1,1,,,,1
55,1,211002,1,1,208003,1,2,,,,,,,1
56,1,208005,1,1,208000,1,2,,,,,,,1
57,1,208005,1,1,208000,1,2,,,,,,,1
58,1,208005,1,1,208000,1,1,208003,1,1,,,,1
59,1,208005,1,1,208000,1,1,208003,1,1,,,,1
60,1,211002,1,1,208003,1,2,,,,,,,1
61,1,209004,1,1,209000,1,2,,,,,,,1
62,1,209004,1,1,209000,1,2,,,,,,,1
63,1,209004,1,1,209000,1,1,209001,1,1,,,,1
64,1,209004,1,1,209000,1,1,209001,1,1,,,,1
65,1,211003,1,1,209001,1,2,,,,,,,1
66,1,209004,1,1,209000,1,2,,,,,,,1
67,1,209004,1,1,209000,1,2,,,,,,,1
68,1,209004,1,1,209000,1,1,209001,1,1,,,,1
69,1,209004,1,1,209000,1,1,209001,1,1,,,,1
70,1,211003,1,1,209001,1,2,,,,,,,1
71,1,209004,1,1,209000,1,2,,,,,,,1
72,1,209004,1,1,209000,1,2,,,,,,,1
73,1,209004,1,1,209000,1,1,209001,1,1,,,,1
74,1,209004,1,1,209000,1,1,209001,1,1,,,,1
75,1,211003,1,1,209001,1,2,,,,,,,1
76,1,209004,1,1,209000,1,2,,,,,,,1
77,1,209004,1,1,209000,1,2,,,,,,,1
78,1,209004,1,1,209000,1,1,209001,1,1,,,,1
79,1,209004,1,1,209000,1,1,209001,1,1,,,,1
80,1,211003,1,1,209001,1,2,,,,,,,1
