floor_id,wave,monster1_id,monster1_level,monster1_count,monster2_id,monster2_level,monster2_count,monster3_id,monster3_level,monster3_count,monster4_id,monster4_level,monster4_count,has_boss
1,1,206006,1,1,206000,1,2,,,,,,,1
2,1,206006,1,1,206000,1,2,,,,,,,1
3,1,206006,1,1,206000,1,1,206005,1,1,,,,1
4,1,206006,1,1,206000,1,1,206005,1,1,,,,1
5,1,211000,1,1,206005,1,2,,,,,,,1
6,1,206006,1,1,206000,1,2,,,,,,,1
7,1,206006,1,1,206000,1,2,,,,,,,1
8,1,206006,1,1,206000,1,1,206005,1,1,,,,1
9,1,206006,1,1,206006,1,1,206005,1,1,,,,1
10,1,211000,1,1,206005,1,2,,,,,,,1
11,1,206006,1,1,206000,1,2,,,,,,,1
12,1,206006,1,1,206000,1,2,,,,,,,1
13,1,206006,1,1,206000,1,1,206005,1,1,,,,1
14,1,206006,1,1,206006,1,1,206005,1,1,,,,1
15,1,211000,1,1,206005,1,2,,,,,,,1
16,1,206006,1,1,206000,1,2,,,,,,,1
17,1,206006,1,1,206000,1,2,,,,,,,1
18,1,206006,1,1,206000,1,1,206005,1,1,,,,1
19,1,206006,1,1,206006,1,1,206005,1,1,,,,1
20,1,211000,1,1,206005,1,2,,,,,,,1
