id,adventure_boss_id,floor,turn_limit,hp_additional,atk_additional,def_additional,cri_additional,hit_additional,spd_additional,background,bgm,reward_1_type,reward_1_id,reward_1_min,reward_1_max,reward_1_ratio,reward_2_type,reward_2_id,reward_2_min,reward_2_max,reward_2_ratio,reward_3_type,reward_3_id,reward_3_min,reward_3_max,reward_3_ratio,min_drop_item,max_drop_item,stage_buff_skill_id
1,1,1,150,50,180,153,0,80,50,chapter_01_01,bgm_yggdrasil_01,Material,600302,2,3,60,Material,600201,2,2,10,Rune,10037,3,4,30,2,6,401000
2,1,2,150,100,240,130,0,20,100,chapter_01_01,bgm_yggdrasil_01,Material,600302,2,3,60,Material,600201,2,2,10,Rune,10038,3,4,30,2,6,401000
3,1,3,150,273,700,270,0,437,364,chapter_01_02,bgm_yggdrasil_02,Material,600302,2,3,60,Material,600201,2,2,10,Rune,10037,3,4,30,2,6,401000
4,1,4,150,1200,1200,800,0,1400,898,chapter_01_02,bgm_yggdrasil_02,Material,600302,2,3,60,Material,600201,2,2,10,Rune,10038,3,4,30,2,6,401000
5,1,5,150,2650,7000,1350,0,2525,2525,chapter_01_03,bgm_yggdrasil_03,Material,600302,2,3,60,Material,600201,2,2,10,Rune,10037,3,4,30,2,6,401000
6,1,6,150,2650,7000,1350,0,2525,2525,chapter_01_01,bgm_yggdrasil_01,Material,600302,4,5,60,Material,600202,2,2,10,Rune,10038,3,4,30,4,6,401000
7,1,7,150,3000,9000,2500,0,8000,3159,chapter_01_01,bgm_yggdrasil_01,Material,600302,4,5,60,Material,600202,2,2,10,Rune,10037,3,4,30,4,6,401001
8,1,8,150,3550,12050,3200,0,10000,3841,chapter_01_02,bgm_yggdrasil_02,Material,600302,4,5,60,Material,600202,2,2,10,Rune,10038,3,4,30,4,6,401001
9,1,9,150,5100,15000,6000,0,16500,4300,chapter_01_02,bgm_yggdrasil_02,Material,600302,4,5,60,Material,600202,2,2,10,Rune,10037,3,4,30,4,6,401001
10,1,10,150,6800,90000,7000,0,35300,6000,chapter_01_03,bgm_yggdrasil_03,Material,600302,4,5,60,Material,600202,2,2,10,Rune,10038,3,4,30,4,6,401001
11,1,11,150,6800,90000,7000,0,35300,6000,chapter_01_01,bgm_yggdrasil_01,Material,600303,4,5,60,Material,600203,2,2,10,Rune,10037,4,5,30,4,6,401001
12,1,12,150,24300,303600,21200,0,155000,22000,chapter_01_01,bgm_yggdrasil_01,Material,600303,4,5,60,Material,600203,2,2,10,Rune,10038,4,5,30,4,6,401002
13,1,13,150,36450,500400,31800,0,232500,33000,chapter_01_02,bgm_yggdrasil_02,Material,600303,4,5,60,Material,600203,2,2,10,Rune,10037,4,5,30,4,6,401002
14,1,14,150,72900,900800,63600,0,465000,66000,chapter_01_02,bgm_yggdrasil_02,Material,600303,4,5,60,Material,600203,2,2,10,Rune,10038,4,5,30,4,6,401002
15,1,15,150,123930,1337360,108120,0,790500,112200,chapter_01_03,bgm_yggdrasil_03,Material,600303,4,5,60,Material,600203,2,2,10,Rune,10037,4,5,30,4,6,401002
16,1,16,150,123930,1337360,108120,0,790500,112200,chapter_01_01,bgm_yggdrasil_01,Material,600304,4,5,60,Material,600203,2,2,10,Rune,10038,4,5,30,4,6,401002
17,1,17,150,285039,2397928,248676,0,1818150,258060,chapter_01_01,bgm_yggdrasil_01,Material,600304,4,5,60,Material,600203,2,2,10,Rune,10037,4,5,30,4,6,401003
18,1,18,150,427558,3446892,373014,0,2727225,387090,chapter_01_02,bgm_yggdrasil_02,Material,600304,4,5,60,Material,600203,2,2,10,Rune,10038,4,5,30,4,6,401003
19,1,19,150,855116,6653784,746028,0,5454450,774180,chapter_01_02,bgm_yggdrasil_02,Material,600304,4,5,60,Material,600203,2,2,10,Rune,10037,4,5,30,4,6,401003
20,1,20,150,1453697,11099431,1268247,0,9272565,1316106,chapter_01_03,bgm_yggdrasil_03,Material,600304,4,5,60,Material,600203,2,2,10,Rune,10038,4,5,30,4,6,401003
21,1,21,150,1597951,12121078,1394098,0,11090715,1574166,chapter_01_01,bgm_yggdrasil_01,Material,600305,1,2,60,Material,600203,2,2,10,Rune,10047,1,2,30,4,6,401003
22,1,22,150,6920912,59499078,4275859,0,43599762,6930288,chapter_01_01,bgm_yggdrasil_01,Material,600305,1,2,60,Material,600203,2,2,10,Rune,10048,1,2,30,4,6,401003
23,1,23,150,8443873,85877078,8557620,0,86108809,9286411,chapter_01_02,bgm_yggdrasil_02,Material,600305,1,2,60,Material,600203,2,2,10,Rune,10047,1,2,30,4,6,401003
