floor_id,wave,monster1_id,monster1_level,monster1_count,monster2_id,monster2_level,monster2_count,monster3_id,monster3_level,monster3_count,monster4_id,monster4_level,monster4_count,has_boss
1,1,206000,100,1,206006,100,2,,,,,,,1
2,1,206000,150,1,206006,150,2,,,,,,,1
3,1,206000,200,1,206005,200,1,206006,200,1,,,,1
4,1,206000,250,1,206005,250,1,206006,250,1,,,,1
5,1,211000,300,1,,,,,,,,,,1
6,1,206000,300,1,206006,300,2,,,,,,,1
7,1,206000,320,1,206006,320,2,,,,,,,1
8,1,206000,340,1,206005,340,1,206006,340,1,,,,1
9,1,206000,360,1,206005,360,1,206006,360,1,,,,1
10,1,211000,380,1,,,,,,,,,,1
11,1,206000,380,1,206006,380,2,,,,,,,1
12,1,206000,400,1,206006,400,2,,,,,,,1
13,1,206000,410,1,206005,410,1,206006,410,1,,,,1
14,1,206000,430,1,206005,430,1,206006,430,1,,,,1
15,1,211000,450,1,,,,,,,,,,1
16,1,206000,450,1,206006,450,2,,,,,,,1
17,1,206000,470,1,206006,470,2,,,,,,,1
18,1,206000,490,1,206005,490,1,206006,490,1,,,,1
19,1,206000,510,1,206005,510,1,206006,510,1,,,,1
20,1,211000,530,1,,,,,,,,,,1
21,1,207001,100,1,207004,100,2,,,,,,,1
22,1,207001,150,1,207004,150,2,,,,,,,1
23,1,207001,200,1,207002,200,1,207004,200,1,,,,1
24,1,207001,250,1,207002,250,1,207004,250,1,,,,1
25,1,211001,300,1,,,,,,,,,,1
26,1,207001,300,1,207004,300,2,,,,,,,1
27,1,207001,320,1,207004,320,2,,,,,,,1
28,1,207001,340,1,207002,340,1,207004,340,1,,,,1
29,1,207001,360,1,207002,360,1,207004,360,1,,,,1
30,1,211001,380,1,,,,,,,,,,1
31,1,207001,380,1,207004,380,2,,,,,,,1
32,1,207001,400,1,207004,400,2,,,,,,,1
33,1,207001,410,1,207002,410,1,207004,410,1,,,,1
34,1,207001,430,1,207002,430,1,207004,430,1,,,,1
35,1,211001,450,1,,,,,,,,,,1
36,1,207001,450,1,207004,450,2,,,,,,,1
37,1,207001,470,1,207004,470,2,,,,,,,1
38,1,207001,490,1,207002,490,1,207004,490,1,,,,1
39,1,207001,510,1,207002,510,1,207004,510,1,,,,1
40,1,211001,530,1,,,,,,,,,,1
41,1,208000,100,1,208005,100,2,,,,,,,1
42,1,208000,150,1,208005,150,2,,,,,,,1
43,1,208000,200,1,208003,200,1,208005,200,1,,,,1
44,1,208000,250,1,208003,250,1,208005,250,1,,,,1
45,1,211002,300,1,,,,,,,,,,1
46,1,208000,300,1,208005,300,2,,,,,,,1
47,1,208000,320,1,208005,320,2,,,,,,,1
48,1,208000,340,1,208003,340,1,208005,340,1,,,,1
49,1,208000,360,1,208003,360,1,208005,360,1,,,,1
50,1,211002,380,1,,,,,,,,,,1
51,1,208000,380,1,208005,380,2,,,,,,,1
52,1,208000,400,1,208005,400,2,,,,,,,1
53,1,208000,410,1,208003,410,1,208005,410,1,,,,1
54,1,208000,430,1,208003,430,1,208005,430,1,,,,1
55,1,211002,450,1,,,,,,,,,,1
56,1,208000,450,1,208005,450,2,,,,,,,1
57,1,208000,470,1,208005,470,2,,,,,,,1
58,1,208000,490,1,208003,490,1,208005,490,1,,,,1
59,1,208000,510,1,208003,510,1,208005,510,1,,,,1
60,1,211002,530,1,,,,,,,,,,1
61,1,209000,100,1,209004,100,2,,,,,,,1
62,1,209000,150,1,209004,150,2,,,,,,,1
63,1,209000,200,1,209001,200,1,209004,200,1,,,,1
64,1,209000,250,1,209001,250,1,209004,250,1,,,,1
65,1,211003,300,1,,,,,,,,,,1
66,1,209000,300,1,209004,300,2,,,,,,,1
67,1,209000,320,1,209004,320,2,,,,,,,1
68,1,209000,340,1,209001,340,1,209004,340,1,,,,1
69,1,209000,360,1,209001,360,1,209004,360,1,,,,1
70,1,211003,380,1,,,,,,,,,,1
71,1,209000,380,1,209004,380,2,,,,,,,1
72,1,209000,400,1,209004,400,2,,,,,,,1
73,1,209000,410,1,209001,410,1,209004,410,1,,,,1
74,1,209000,430,1,209001,430,1,209004,430,1,,,,1
75,1,211003,450,1,,,,,,,,,,1
76,1,209000,450,1,209004,450,2,,,,,,,1
77,1,209000,470,1,209004,470,2,,,,,,,1
78,1,209000,490,1,209001,490,1,209004,490,1,,,,1
79,1,209000,510,1,209001,510,1,209004,510,1,,,,1
80,1,211003,530,1,,,,,,,,,,1
