id,round,arena_type,start_block_index,end_block_index,required_medal_count,entrance_fee,ticket_price,additional_ticket_price,max_purchase_count,max_purchase_count_during_interval,medal_id
0,4,OffSeason,1,151200,0,0,5,2,40,8,0
0,5,Season,151201,302400,0,1,50,20,40,8,700002
0,6,OffSeason,302401,453600,0,0,5,2,40,8,0
0,7,Season,453601,604800,0,1,50,20,40,8,700004
0,8,OffSeason,604801,756000,0,0,5,2,40,8,0
0,9,Season,756001,907200,0,1,50,20,40,8,700006
0,10,OffSeason,907201,1058400,0,0,5,2,40,8,0
0,11,Championship,1058401,1209600,160,2,100,40,40,8,700008
1,1,OffSeason,1209601,1360800,0,0,5,2,40,8,0
1,2,Season,1360801,1512000,0,1,50,20,40,8,700102
1,3,OffSeason,1512001,1663200,0,0,5,2,40,8,0
1,4,Season,1663201,1814400,0,1,50,20,40,8,700104
1,5,OffSeason,1814401,1965600,0,0,5,2,40,8,0
1,6,Season,1965601,2116800,0,1,50,20,40,8,700106
1,7,OffSeason,2116801,2268000,0,0,5,2,40,8,0
1,8,Championship,2268001,2419200,160,2,100,40,40,8,700108
2,1,OffSeason,2419201,2570400,0,0,5,2,40,8,0
2,2,Season,2570401,2721600,0,1,50,20,40,8,700202
2,3,OffSeason,2721601,2872800,0,0,5,2,40,8,0
2,4,Season,2872801,3024000,0,1,50,20,40,8,700204
2,5,OffSeason,3024001,3175200,0,0,5,2,40,8,0
2,6,Championship,3175201,3326400,160,2,100,40,40,8,700208
3,1,OffSeason,3326401,3477600,0,0,5,2,40,8,0
3,2,Season,3477601,3628800,0,1,50,20,40,8,700302
3,3,OffSeason,3628801,3780000,0,0,5,2,40,8,0
3,4,Season,3780001,3931200,0,1,50,20,40,8,700304
3,5,OffSeason,3931201,4082400,0,0,5,2,40,8,0
3,6,Championship,4082401,4233600,160,2,100,40,40,8,700306
4,1,OffSeason,4233601,4384800,0,0,5,2,40,8,0
4,2,Season,4384801,4536000,0,1,50,20,40,8,700402
4,3,OffSeason,4536001,4687200,0,0,5,2,40,8,0
4,4,Season,4687201,4838400,0,1,50,20,40,8,700404
4,5,OffSeason,4838401,4989600,0,0,5,2,40,8,0
4,6,Championship,4989601,5140800,160,2,100,40,40,8,700406
5,1,OffSeason,5140801,5292000,0,0,5,2,40,8,0
5,2,Season,5292001,5443200,0,1,50,20,40,8,700502
5,3,OffSeason,5443201,5594400,0,0,5,2,40,8,0
5,4,Season,5594401,5745600,0,1,50,20,40,8,700504
5,5,OffSeason,5745601,5896800,0,0,5,2,40,8,0
5,6,Championship,5896801,6048000,160,2,100,40,40,8,700506
6,1,OffSeason,6048001,6199200,0,0,5,2,40,8,0
6,2,Season,6199201,6350400,0,1,50,20,40,8,700602
6,3,OffSeason,6350401,6501600,0,0,5,2,40,8,0
6,4,Season,6501601,6652800,0,1,50,20,40,8,700604
6,5,OffSeason,6652801,6804000,0,0,5,2,40,8,0
6,6,Championship,6804001,6955200,160,2,100,40,40,8,700606
7,1,OffSeason,6955201,7106400,0,0,5,2,40,8,0
7,2,Season,7106401,7257600,0,1,50,20,40,8,700702
7,3,OffSeason,7257601,7408800,0,0,5,2,40,8,0
7,4,Season,7408801,7560000,0,1,50,20,40,8,700704
7,5,OffSeason,7560001,7711200,0,0,5,2,40,8,0
7,6,Championship,7711201,7862400,160,2,100,40,40,8,700706
8,1,OffSeason,7862401,8013600,0,0,5,2,40,8,0
8,2,Season,8013601,8164800,0,1,50,20,40,8,700802
8,3,OffSeason,8164801,8316000,0,0,5,2,40,8,0
8,4,Season,8316001,8467200,0,1,50,20,40,8,700804
8,5,OffSeason,8467201,8618400,0,0,5,2,40,8,0
8,6,Championship,8618401,8769600,160,2,100,40,40,8,700806
9,1,OffSeason,8769601,8920800,0,0,5,2,40,8,0
9,2,Season,8920801,9072000,0,1,50,20,40,8,700902
9,3,OffSeason,9072001,9223200,0,0,5,2,40,8,0
9,4,Season,9223201,9374400,0,1,50,20,40,8,700904
9,5,OffSeason,9374401,9525600,0,0,5,2,40,8,0
9,6,Championship,9525601,9676800,160,2,100,40,40,8,700906
10,1,OffSeason,9676801,9828000,0,0,5,2,40,8,0
10,2,Season,9828001,9979200,0,1,50,20,40,8,701002
10,3,OffSeason,9979201,10130400,0,0,5,2,40,8,0
10,4,Season,10130401,10281600,0,1,50,20,40,8,701004
10,5,OffSeason,10281601,10432800,0,0,5,2,40,8,0
10,6,Championship,10432801,10584000,160,2,100,40,40,8,701006
