level,exp,exp_need
1,0,3
2,3,6
3,9,11
4,20,20
5,40,20
6,60,20
7,80,20
8,100,20
9,120,20
10,140,20
11,160,20
12,180,20
13,200,20
14,220,20
15,240,20
16,260,20
17,280,20
18,300,20
19,320,20
20,340,20
21,360,20
22,380,20
23,400,20
24,420,20
25,440,20
26,460,20
27,480,20
28,500,20
29,520,20
30,540,20
31,560,20
32,580,20
33,600,20
34,620,20
35,640,20
36,660,20
37,680,20
38,700,20
39,720,20
40,740,20
41,760,20
42,780,20
43,800,20
44,820,20
45,840,20
46,860,20
47,880,20
48,900,20
49,920,20
50,940,20
51,960,20
52,980,20
53,1000,20
54,1020,20
55,1040,20
56,1060,20
57,1080,20
58,1100,20
59,1120,20
60,1140,20
61,1160,20
62,1180,20
63,1200,20
64,1220,20
65,1240,20
66,1260,20
67,1280,20
68,1300,20
69,1320,20
70,1340,20
71,1360,20
72,1380,20
73,1400,20
74,1420,20
75,1440,20
76,1460,20
77,1480,20
78,1500,20
79,1520,20
80,1540,20
81,1560,20
82,1580,20
83,1600,20
84,1620,20
85,1640,20
86,1660,20
87,1680,20
88,1700,20
89,1720,20
90,1740,20
91,1760,20
92,1780,20
93,1800,20
94,1820,20
95,1840,20
96,1860,20
97,1880,20
98,1900,20
99,1920,20
100,1940,20
101,1960,20
102,1980,20
103,2000,20
104,2020,20
105,2040,20
106,2060,20
107,2080,20
108,2100,20
109,2120,20
110,2140,20
111,2160,20
112,2180,20
113,2200,20
114,2220,20
115,2240,20
116,2260,20
117,2280,20
118,2300,20
119,2320,20
120,2340,20
121,2360,20
122,2380,20
123,2400,20
124,2420,20
125,2440,20
126,2460,20
127,2480,20
128,2500,20
129,2520,20
130,2540,20
131,2560,20
132,2580,20
133,2600,20
134,2620,20
135,2640,20
136,2660,20
137,2680,20
138,2700,20
139,2720,20
140,2740,20
141,2760,20
142,2780,20
143,2800,20
144,2820,20
145,2840,20
146,2860,20
147,2880,20
148,2900,20
149,2920,20
150,2940,20
151,2960,20
152,2980,20
153,3000,20
