id,item_sub_type,item_option_id,ratio
1,Weapon,2016000002,1
2,Weapon,2016000003,1
3,Weapon,2016000005,2
4,Weapon,2016000006,2
5,Weapon,2016000011,2
6,Weapon,2016000012,3
7,Weapon,2016000013,4
8,Weapon,2016000014,5
9,Weapon,2016000019,3
10,Weapon,2016000020,4
11,Weapon,2016000021,5
12,Weapon,2016000022,6
13,Weapon,2016000023,3
14,Weapon,2016000024,4
15,Weapon,2016000025,5
16,Weapon,2016000026,6
17,Weapon,2066000001,3
18,Weapon,2066000002,3
19,Weapon,2066000003,3
20,Weapon,2066000004,3
21,Weapon,2066000005,3
22,Weapon,2066000007,3
23,Weapon,2066000008,3
24,Weapon,2066000010,3
25,Weapon,2066000012,3
26,Weapon,2066000013,3
27,Weapon,2066000014,3
28,Weapon,2066000016,4
29,Weapon,2066000017,4
30,Weapon,2066000018,5
31,Weapon,2066000019,5
32,Weapon,2066000020,5
33,Weapon,2066000021,5
34,Weapon,2066000022,5
35,Weapon,2066000023,5
36,Weapon,2066000024,5
37,Weapon,2066000025,5
38,Weapon,2066000026,4
39,Weapon,2066000027,5
40,Weapon,2066000028,6
41,Weapon,2066000029,7
42,Weapon,2066000030,4
43,Weapon,2066000031,5
44,Weapon,2066000032,6
45,Weapon,2066000033,7
46,Weapon,2066000034,4
47,Weapon,2066000035,5
48,Weapon,2066000036,6
49,Weapon,2066000037,7
50,Weapon,2066000038,4
51,Weapon,2066000039,5
52,Weapon,2066000040,6
53,Weapon,2066000041,7
54,Weapon,2066000042,4
55,Weapon,2066000043,5
56,Weapon,2066000044,6
57,Weapon,2066000045,7
58,Weapon,2066000050,4
59,Weapon,2066000051,5
60,Weapon,2066000052,6
61,Weapon,2066000053,7
62,Weapon,2066000054,4
63,Weapon,2066000055,5
64,Weapon,2066000056,6
65,Weapon,2066000057,7
66,Weapon,2066000062,4
67,Weapon,2066000063,5
68,Weapon,2066000064,6
69,Weapon,2066000065,7
70,Weapon,2066000070,4
71,Weapon,2066000071,5
72,Weapon,2066000072,6
73,Weapon,2066000073,7
74,Weapon,2066000074,4
75,Weapon,2066000075,5
76,Weapon,2066000076,6
77,Weapon,2066000077,7
78,Weapon,2066000078,4
79,Weapon,2066000079,5
80,Weapon,2066000080,6
81,Weapon,2066000081,7
82,Weapon,2066000086,5
83,Weapon,2066000087,6
84,Weapon,2066000088,7
85,Weapon,2066000089,8
86,Weapon,2066000090,5
87,Weapon,2066000091,6
88,Weapon,2066000092,7
89,Weapon,2066000093,8
90,Weapon,2066000094,6
91,Weapon,2066000095,7
92,Weapon,2066000096,8
93,Weapon,2066000097,9
94,Weapon,2066000098,6
95,Weapon,2066000099,7
96,Weapon,2066000100,8
97,Weapon,2066000101,9
98,Weapon,2066000102,6
99,Weapon,2066000103,7
100,Weapon,2066000104,8
101,Weapon,2066000105,9
102,Weapon,2066000106,6
103,Weapon,2066000107,7
104,Weapon,2066000108,8
105,Weapon,2066000109,9
106,Weapon,2066000110,6
