"id","item_sub_type","grade","level","cost","exp","required_block","base_stat_growth_min","base_stat_growth_max","extra_stat_growth_min","extra_stat_growth_max","extra_skill_damage_growth_min","extra_skill_damage_growth_max","extra_skill_chance_growth_min","extra_skill_chance_growth_max"
"1","Weapon","1","1","0","10","20","800","1200","0","0","0","0","0","0"
"2","Weapon","1","2","0","30","40","800","1200","0","0","0","0","0","0"
"3","Weapon","1","3","0","70","60","800","1200","0","0","0","0","0","0"
"4","Weapon","1","4","10","150","80","800","1200","2500","3500","900","900","800","800"
"5","Weapon","1","5","20","310","280","800","1200","0","0","0","0","0","0"
"6","Weapon","1","6","40","630","480","800","1200","0","0","900","900","800","800"
"7","Weapon","1","7","80","1270","680","800","1200","2500","3500","0","0","0","0"
"8","Weapon","1","8","160","2550","880","800","1200","600","1000","0","0","0","0"
"9","Weapon","1","9","320","5110","2880","800","1200","600","1000","900","900","800","800"
"10","Weapon","1","10","640","10230","4880","100","300","100","300","0","0","0","0"
"11","Weapon","1","11","1280","15350","6880","100","300","100","300","0","0","0","0"
"12","Weapon","1","12","2560","20470","8880","100","300","100","300","0","0","0","0"
"13","Weapon","1","13","5120","25590","10880","100","300","100","300","0","0","0","0"
"14","Weapon","1","14","10240","30710","12880","100","300","100","300","0","0","0","0"
"15","Weapon","1","15","20480","35830","14880","100","300","100","300","0","0","0","0"
"16","Weapon","1","16","40960","40950","16880","100","300","100","300","0","0","0","0"
"17","Weapon","1","17","81920","46070","18880","100","300","100","300","0","0","0","0"
"18","Weapon","1","18","163840","51190","20880","100","300","100","300","0","0","0","0"
"19","Weapon","1","19","327680","56310","22880","100","300","100","300","0","0","0","0"
"20","Weapon","1","20","655360","61430","24880","100","300","100","300","0","0","0","0"
"21","Weapon","1","21","1310720","66550","26880","100","300","100","300","0","0","0","0"
"22","Weapon","2","1","0","200","30","800","1200","0","0","0","0","0","0"
"23","Weapon","2","2","0","600","150","800","1200","0","0","0","0","0","0"
"24","Weapon","2","3","0","1400","450","800","1200","0","0","0","0","0","0"
"25","Weapon","2","4","10","3000","1650","800","1200","2500","3500","900","900","800","800"
"26","Weapon","2","5","20","6200","2850","800","1200","0","0","0","0","0","0"
"27","Weapon","2","6","40","12600","5250","800","1200","0","0","900","900","800","800"
"28","Weapon","2","7","80","25400","7650","800","1200","2500","3500","0","0","0","0"
"29","Weapon","2","8","160","51000","12650","800","1200","600","1000","0","0","0","0"
"30","Weapon","2","9","320","102200","17650","800","1200","600","1000","900","900","800","800"
"31","Weapon","2","10","640","204600","22650","100","300","100","300","0","0","0","0"
"32","Weapon","2","11","1280","307000","27650","100","300","100","300","0","0","0","0"
"33","Weapon","2","12","2560","409400","32650","100","300","100","300","0","0","0","0"
"34","Weapon","2","13","5120","511800","37650","100","300","100","300","0","0","0","0"
"35","Weapon","2","14","10240","614200","42650","100","300","100","300","0","0","0","0"
"36","Weapon","2","15","20480","716600","47650","100","300","100","300","0","0","0","0"
"37","Weapon","2","16","40960","819000","52650","100","300","100","300","0","0","0","0"
"38","Weapon","2","17","81920","921400","57650","100","300","100","300","0","0","0","0"
"39","Weapon","2","18","163840","1023800","62650","100","300","100","300","0","0","0","0"
"40","Weapon","2","19","327680","1126200","67650","100","300","100","300","0","0","0","0"
"41","Weapon","2","20","655360","1228600","72650","100","300","100","300","0","0","0","0"
"42","Weapon","2","21","1310720","1331000","77650","100","300","100","300","0","0","0","0"
"43","Weapon","3","1","0","4000","50","800","1200","0","0","0","0","0","0"
"44","Weapon","3","2","0","12000","150","800","1200","0","0","0","0","0","0"
"45","Weapon","3","3","0","28000","350","800","1200","0","0","0","0","0","0"
"46","Weapon","3","4","10","60000","750","800","1200","2500","3500","900","900","800","800"
