id,required_block_index,required_ap,required_gold,material_item_id_1,material_item_count_1,material_item_id_2,material_item_count_2,material_item_id_3,material_item_count_3,material_item_id_4,material_item_count_4,result_consumable_item_id
10010001,20,0,0,800101,1,800104,1,,,,,900101
10010002,20,0,0,800101,1,800102,1,800105,1,,,900102
10010003,20,0,0,800101,1,800103,1,800106,1,,,900103
10030001,20,0,0,800107,2,800108,1,,,,,900104
10030002,20,0,0,800107,2,800109,1,,,,,900105
10030003,20,0,0,800108,2,800109,1,,,,,900106
10100001,20,0,0,800110,3,,,,,,,900107
10100002,20,0,0,800111,3,,,,,,,900108
10100003,20,0,0,800110,2,800111,2,,,,,900109
10110001,20,0,0,800112,3,,,,,,,900110
10110002,20,0,0,800113,3,,,,,,,900111
10110003,20,0,0,800114,3,,,,,,,900112
10130001,20,0,0,800116,1,,,,,,,900113
10130002,20,0,0,800117,1,,,,,,,900114
10130003,20,0,0,800116,1,800117,1,,,,,900115
