Id,Floor,RequiredCp,MaxCp,ForbiddenItemSubTypes,MinItemGrade,MaxItemGrade,MinItemLevel,MaxItemLevel,GuaranteedConditionId,MinRandomConditions,MaxRandomConditions,RandomConditionId1,RandomConditionWeight1,RandomConditionId2,RandomConditionWeight2,RandomConditionId3,RandomConditionWeight3,RandomConditionId4,RandomConditionWeight4,RandomConditionId5,RandomConditionWeight5,ItemRewardId1,ItemRewardCount1,ItemRewardId2,ItemRewardCount2,ItemRewardId3,ItemRewardCount3,ItemRewardId4,ItemRewardCount4,ItemRewardId5,ItemRewardCount5,FungibleAssetRewardTicker1,FungibleAssetRewardAmount1,FungibleAssetRewardTicker2,FungibleAssetRewardAmount2,FungibleAssetRewardTicker3,FungibleAssetRewardAmount3,FungibleAssetRewardTicker4,FungibleAssetRewardAmount4,FungibleAssetRewardTicker5,FungibleAssetRewardAmount5,NcgCost,MaterialCostId,MaterialCostCount,ForbiddenRuneTypes,RequiredElementalType,hp_option,atk_option,def_option,cri_option,hit_option,spd_option
1,1,1000000,,19,,,,,1,3,3,34,80,35,80,2,50,12,50,23,60,600201,180,600306,45,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,10000,5000,10000,100,10000,5000
2,2,2000000,,19,,,,,1,3,3,34,80,36,80,3,50,13,50,23,60,600306,90,600306,45,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,11000,5000,10000,100,10000,5000
3,3,3000000,,19,,,,,1,3,3,34,80,37,80,4,50,14,50,23,60,500000,180,600306,45,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,12000,5500,11000,100,11000,5500
4,4,4000000,,19,,,,,1,3,3,35,80,36,80,5,50,15,50,23,60,400000,90000,600306,45,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,13000,6000,12000,100,12000,6000
5,5,5000000,,19,,,,,1,3,3,35,80,37,80,6,50,16,50,23,60,600202,90,600306,45,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,14000,6500,13000,100,13000,6500
6,6,6000000,,19,,,,,1,3,3,36,80,37,80,7,50,17,50,23,60,600401,90,600306,45,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,15000,7000,14000,100,14000,7000
7,7,7000000,,19,,,,,1,3,3,34,80,35,80,8,50,18,50,23,60,600402,90,600306,45,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,16000,7500,15000,100,15000,7500
8,8,8000000,,19,,,,,1,3,3,34,80,36,80,9,50,19,50,23,60,800202,9,600306,45,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,17000,8000,16000,100,16000,8000
9,9,9000000,,19,,,,,1,3,3,34,80,37,80,10,50,20,50,23,60,600203,90,600306,45,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,18000,8500,17000,100,17000,8500
10,10,10000000,,19,,,,,1,3,3,35,80,36,80,11,50,21,50,23,60,40100031,1,600306,45,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,19000,9000,18000,100,18000,9000
11,11,20000000,,19,,,,,1,3,3,35,80,37,80,22,20,23,80,28,50,600201,90,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,20000,9500,19000,100,19000,9500
12,12,30000000,,19,,,,,1,3,3,36,80,37,80,22,20,23,80,28,50,600201,99,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,21000,10000,20000,100,20000,10000
13,13,40000000,,19,,,,,1,3,3,34,80,35,80,22,20,23,80,28,50,600201,108,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,22000,10500,21000,100,21000,10500
14,14,50000000,,19,,,,,1,3,3,34,80,36,80,22,20,23,80,28,50,600201,117,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,23000,11000,22000,100,22000,11000
15,15,60000000,,19,,,,,1,3,3,34,80,37,80,22,20,23,80,28,50,600202,126,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,24000,11500,23000,100,23000,11500
16,16,70000000,,19,,,,,1,3,3,35,80,36,80,22,20,23,80,28,50,600201,135,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,25000,12000,24000,100,24000,12000
17,17,80000000,,19,,,,,1,3,3,35,80,37,80,22,20,23,80,28,50,600201,144,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,26000,12500,25000,100,25000,12500
18,18,90000000,,19,,,,,1,3,3,36,80,37,80,22,20,23,80,28,50,600201,153,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,27000,13000,26000,100,26000,13000
19,19,100000000,,19,,,,,1,3,3,34,80,35,80,22,20,23,80,28,50,600201,162,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,28000,13500,27000,100,27000,13500
20,20,110000000,,19,,,,,1,1,2,24,50,25,50,,,,,,,600206,4,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,29000,14000,28000,100,28000,14000
21,21,120000000,,19,,,,,1,3,3,34,80,36,80,2,50,12,50,23,60,500000,90,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,50000,25000,50000,100,50000,25000
22,22,130000000,,19,,,,,1,3,3,34,80,37,80,3,50,13,50,23,60,500000,90,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,52000,26000,52000,100,52000,26000
23,23,140000000,,19,,,,,1,3,3,35,80,36,80,4,50,14,50,23,60,500000,90,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,54000,27000,54000,100,54000,27000
24,24,150000000,,19,,,,,1,3,3,35,80,37,80,5,50,15,50,23,60,500000,90,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,56000,28000,56000,100,56000,28000
25,25,160000000,,19,,,,,1,3,3,36,80,37,80,6,50,16,50,23,60,600203,90,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,58000,29000,58000,100,58000,29000
26,26,170000000,,19,,,,,1,3,3,34,80,35,80,7,50,17,50,23,60,500000,112,500001,30,,,,,,,,,,,,,,,,,180,600206,80,,0:01:03,60000,30000,60000,100,60000,30000
