grade_id,item_sub_type,required_count,succeed_rate
_value of successful_rate is between 0 and 1. only the second decimal place
1,Aura,25,0.5
1,Grimoire,25,0.5
1,FullCostume,25,0.5
1,Title,25,0.5
2,Aura,20,0.4
2,Grimoire,20,0.4
2,FullCostume,20,0.4
2,Title,20,0.4
3,Aura,15,0.3
3,Grimoire,15,0.3
3,FullCostume,15,0.3
3,Title,15,0.3
4,Aura,10,0.2
4,Grimoire,10,0.2
4,FullCostume,10,0.2
4,Title,10,0.2
5,Aura,5,0.1
5,Grimoire,5,0.1
5,FullCostume,5,0.1
5,Title,5,0.1
6,Aura,3,0.0
6,Grimoire,3,0.0
6,FullCostume,3,0.0
6,Title,3,0.0
