ID,_PetName,PetLevel,OptionType,OptionValue
1001,D:CC BlackCat,1,IncreaseBlockPerHourglass,1
1001,D:CC BlackCat,2,IncreaseBlockPerHourglass,1.02
1001,D:CC BlackCat,3,IncreaseBlockPerHourglass,1.04
1001,D:CC BlackCat,4,IncreaseBlockPerHourglass,1.06
1001,D:CC BlackCat,5,IncreaseBlockPerHourglass,1.08
1001,D:CC BlackCat,6,IncreaseBlockPerHourglass,1.1
1001,D:CC BlackCat,7,IncreaseBlockPerHourglass,1.12
1001,D:CC BlackCat,8,IncreaseBlockPerHourglass,1.14
1001,D:CC BlackCat,9,IncreaseBlockPerHourglass,1.16
1001,D:CC BlackCat,10,IncreaseBlockPerHourglass,1.18
1001,D:CC BlackCat,11,IncreaseBlockPerHourglass,1.2
1001,D:CC BlackCat,12,IncreaseBlockPerHourglass,1.22
1001,D:CC BlackCat,13,IncreaseBlockPerHourglass,1.24
1001,D:CC BlackCat,14,IncreaseBlockPerHourglass,1.26
1001,D:CC BlackCat,15,IncreaseBlockPerHourglass,1.28
1001,D:CC BlackCat,16,IncreaseBlockPerHourglass,1.3
1001,D:CC BlackCat,17,IncreaseBlockPerHourglass,1.32
1001,D:CC BlackCat,18,IncreaseBlockPerHourglass,1.34
1001,D:CC BlackCat,19,IncreaseBlockPerHourglass,1.36
1001,D:CC BlackCat,20,IncreaseBlockPerHourglass,1.38
1001,D:CC BlackCat,21,IncreaseBlockPerHourglass,1.4
1001,D:CC BlackCat,22,IncreaseBlockPerHourglass,1.42
1001,D:CC BlackCat,23,IncreaseBlockPerHourglass,1.44
1001,D:CC BlackCat,24,IncreaseBlockPerHourglass,1.46
1001,D:CC BlackCat,25,IncreaseBlockPerHourglass,1.48
1001,D:CC BlackCat,26,IncreaseBlockPerHourglass,1.5
1001,D:CC BlackCat,27,IncreaseBlockPerHourglass,1.52
1001,D:CC BlackCat,28,IncreaseBlockPerHourglass,1.54
1001,D:CC BlackCat,29,IncreaseBlockPerHourglass,1.56
1001,D:CC BlackCat,30,IncreaseBlockPerHourglass,1.58
1001,D:CC BlackCat,31,IncreaseBlockPerHourglass,1.6
1001,D:CC BlackCat,32,IncreaseBlockPerHourglass,1.62
1001,D:CC BlackCat,33,IncreaseBlockPerHourglass,1.64
1001,D:CC BlackCat,34,IncreaseBlockPerHourglass,1.66
1001,D:CC BlackCat,35,IncreaseBlockPerHourglass,1.68
1001,D:CC BlackCat,36,IncreaseBlockPerHourglass,1.7
1001,D:CC BlackCat,37,IncreaseBlockPerHourglass,1.72
1001,D:CC BlackCat,38,IncreaseBlockPerHourglass,1.74
1001,D:CC BlackCat,39,IncreaseBlockPerHourglass,1.76
