id,_PetNameKO,_PetNameEn,grade,SoulStoneTicker
1001,D:CC 블랙캣,D:CC Blackcat,1,SOULSTONE_1001
1002,빨간 동글이,Red Dongle,2,SOULSTONE_1002
1003,빛의 발키리,Valkyrie of Light,3,SOULSTONE_1003
1004,꼬마 펜리르,Lil' Fenrir,3,SOULSTONE_1004
1011,리본 블랙캣,Ribbon BlackCat,1,SOULSTONE_1001
1012,복숭아 동글이,Peach Dongle,2,SOULSTONE_1002
1013,파란 빛의 발키리,Valkyrie of Blue Light,3,SOULSTONE_1003
1014,숲의 꼬마 펜리르,Forest Lil' Fenrir,3,SOULSTONE_1004
1021,다친 블랙캣,D:CC Blackcat,1,SOULSTONE_1001
1022,샤인 머스켓 동글이,Red Dongle,2,SOULSTONE_1002
1023,붉은 빛의 발키리,Valkyrie of Light,3,SOULSTONE_1003
1024,밤의 꼬마 펜리르,Lil' Fenrir,3,SOULSTONE_1004
