id,_name,grade,rune_type,required_level,use_place,bonus_coef
30001,Adventurer's Rune,1,1,1,7,10000
10001,Fenrir HP Rune,2,1,1,4,10000
10002,Fenrir ATK Rune,3,1,1,5,10000
10003,Fenrir Bleeding Rune,5,2,1,7,10000
10011,Saehrimnir HIT Rune,2,1,1,7,10000
10012,Saehrimnir DEF Rune,3,1,1,3,10000
10013,Saehrimnir Skill Rune,5,2,1,7,10000
20001,Golden leaf Rune,5,2,1,7,10000
10021,Adventure Stun Rune,5,2,1,1,10000
10022,Arena Stun Rune,5,2,1,2,10000
10023,Adventure Vampiric Rune,5,2,1,1,10000
10024,WorldBoss Vampiric Rune,5,2,1,4,10000
10025,Adventure Stamina Rune,4,1,1,1,10000
10026,Arena Stamina Rune,4,1,1,2,10000
10027,Arena Quick Rune,4,1,1,2,10000
10028,WorldBoss Quick Rune,4,1,1,4,10000
