,Update.Ver,v200420
,Folder Name,CSV Name
,상시 업무 & 신규 아이템,
,etc,CollectionSheet
,Item,CostumeItemSheet
,Item,CostumeStatSheet
,Item,ItemRequirementSheet
,연말 이벤트 및 무탑 시즌 2 대응,
,Cost,EnhancementCostSheetV3
,Crystal,CrystalEquipmentGrindingSheet
,Item,MaterialItemSheet
,Item,EquipmentItemSheet
,Item,EquipmentItemRecipeSheet
,Item,EquipmentItemSubRecipeSheetV2
,Item,EquipmentItemOptionSheet
,Rune,RuneListSheet
,Rune,RuneOptionSheet
,Rune,RuneCostSheet
,Rune,RuneSheet
,etc,InfiniteTowerScheduleSheet
,etc,InfiniteTowerFloorSheet
,etc,InfiniteTowerFloorWaveSheet
,etc,InfiniteTowerConditionSheet
,etc,StakeRegularRewardSheet_V10
