id,boss_id,rank,rune_id,weight
1,900001,0,10004,95
1,900001,0,10005,5
2,900001,1,10004,90
2,900001,1,10005,10
3,900001,2,10004,85
3,900001,2,10005,14
3,900001,2,10006,1
4,900001,3,10004,80
4,900001,3,10005,18
4,900001,3,10006,2
5,900001,4,10004,77
5,900001,4,10005,19
5,900001,4,10006,4
6,900001,5,10004,75
6,900001,5,10005,20
6,900001,5,10006,5
7,900002,0,10014,95
7,900002,0,10015,5
8,900002,1,10014,90
8,900002,1,10015,10
9,900002,2,10014,85
9,900002,2,10015,14
9,900002,2,10016,1
10,900002,3,10014,80
10,900002,3,10015,18
10,900002,3,10016,2
11,900002,4,10014,77
11,900002,4,10015,19
11,900002,4,10016,4
12,900002,5,10014,75
12,900002,5,10015,20
12,900002,5,10016,5
