skill_id,buff_id
200000,101001
200001,101001
210000,102001
210001,102001
210002,202001
210003,202001
210004,102002
210005,102003
210006,202002
210007,202002
210008,202003
210009,202003
210010,202002
220000,103001
220001,103001
220002,203001
220003,203001
220004,103002
220005,103003
220006,203002
220007,203002
220008,203002
230000,104001
230001,104001
230002,204001
230003,204001
230004,104002
240000,105001
240001,105001
240002,205001
240003,205001
240004,105002
240005,205002
250000,106001
250001,106001
250002,206001
250003,206001
250004,106002
250005,206002
250006,206002
260000,107000
260001,107000
270000,108000
270001,108000
270002,108000
400000,302010
400000,303010
400000,305010
400000,306010
400000,304001
400001,302012
400001,304001
400002,303012
400002,304001
400003,306012
400003,304001
400004,305012
400004,304001
400005,302007
400005,303007
400005,305007
400005,306007
400005,304000
400006,302011
400006,304000
400007,303011
400007,304000
400008,306011
400008,304000
400009,305011
400009,304000
400010,302008
400010,303008
400010,304000
400011,302008
400011,306008
400011,304000
400012,302008
400012,305008
400012,304000
400013,303008
400013,306008
400013,304000
400014,303008
400014,305008
400014,304000
400015,302004
400015,303004
400015,305004
400015,306004
400016,302009
400017,303009
400018,306009
400019,305009
400020,302006
400020,303006
400021,302006
400021,305006
400022,302006
400022,306006
400023,303006
400023,305006
400024,303006
400024,306006
400025,305006
400025,306006
400026,302005
400026,303005
400026,305005
400027,302005
400027,303005
400027,306005
400028,302005
400028,305005
400028,306005
400029,303005
400029,305005
400029,306005
400030,302000
400030,303000
400030,305000
400030,306000
400031,302003
400032,303003
400033,305003
400034,306003
400035,304000
400036,302002
400036,303002
400037,302002
400037,305002
400038,302002
400038,306002
400039,302002
400039,304000
400040,303002
400040,305002
400041,303002
400041,306002
400042,303002
400042,304000
400043,305002
400043,306002
400044,305002
400044,304000
400045,306002
400045,304000
400046,302001
400046,303001
400046,305001
400047,302001
400047,303001
400047,306001
400048,302001
400048,303001
400048,304000
400049,302001
400049,305001
400049,306001
400050,302001
400050,305001
400050,304000
400051,302001
400051,306001
400051,304000
400052,303001
400052,305001
400052,306001
400053,303001
400053,305001
400053,304000
400054,303001
400054,306001
400054,304000
400055,305001
400055,306001
400055,304000
500001,501001
500001,502001
510001,503011
510001,503012
510001,503015
510002,503021
510002,503022
510002,503015
510003,503031
510003,503032
510003,503015
510004,503041
510004,503042
510004,503015
510005,503051
510005,503052
510005,503015
500011,504001
500011,504002
500012,504003
500013,504004
500014,504005
500014,504008
500014,504011
500015,504006
500015,504009
500015,504011
500016,504007
500016,504010
500016,504011
700001,701000
700002,702000
700003,703000
210011,102004
210011,203003
230005,104003
230005,204002
230006,104004
230006,204003
230007,104005
230007,204003
240006,105003
210012,202004
240007,205002
240008,205002
250007,106003
700012,103004
700013,103004
700014,103004
700015,202005
700015,203004
700015,205003
401000,102005
401000,103005
401000,106004
401000,106005
401001,102006
401001,103006
401001,106004
401001,106005
401002,102007
401002,103007
401002,106004
401002,106005
401003,102008
401003,103008
401003,106004
401003,106005
401004,103012
401004,102012
401004,106004
401004,106005
401005,103013
401005,102013
401005,106004
401005,106005
401006,103014
401006,102014
401006,106004
401006,106005
401007,103015
401007,102015
401007,106004
401007,106005
401008,102016
401008,106009
401008,205004
401008,205005
401009,102017
401009,106010
401009,205004
401009,205005
401010,102018
401010,106011
401010,205004
401010,205005
401011,102019
401011,106012
401011,205004
401011,205005
401012,102016
401012,109000
401012,104006
401012,104007
401012,203005
401012,203006
401013,102017
401013,109001
401013,104006
401013,104007
401013,203005
401013,203006
401014,102018
401014,109002
401014,104006
401014,104007
401014,203005
401014,203006
401015,102019
401015,109003
401015,104006
401015,104007
401015,203005
401015,203006
210013,102009
210014,102010
210015,102011
220009,103009
220010,103010
220011,103011
250008,106006
250009,106007
250010,106008
800002,702001
800003,702001
800004,702001
800005,702001
800010,703001
800011,703006
800013,102020
800014,102021
800015,202006
800016,202007
800017,106013
800018,106014
800019,106014
800020,206003
800021,206004
800022,206004
800034,104008
800035,204004
800036,103016
800037,103017
800038,203007
800039,203008
800040,105004
800041,105005
800042,205006
800043,205007
800044,702001
800045,702001
800046,702001
800047,702001
800048,702001
800049,702001
800050,702001
800051,702001
800052,702001
800053,702001
800054,702001
800055,702001
800056,702001
800057,702001
800058,702001
800059,702001
800072,703002
800073,703003
800074,703004
800075,703005
800076,703007
800077,703008
800078,703009
800079,703010
800080,102022
800081,102023
800082,102024
800083,102025
800084,102021
800085,102021
800086,102021
800087,102021
800088,202008
800089,202009
800090,202010
800091,202011
800092,202007
800093,202007
800094,202007
800095,202007
800096,106015
800097,106016
800098,106017
800099,106018
800100,106014
800101,106014
800102,106014
800103,106014
800104,106014
800105,106014
800106,106014
800107,106014
800108,206005
800109,206006
800110,206007
800111,206008
800112,206004
800113,206004
800114,206004
800115,206004
800116,206004
800117,206004
800118,206004
800119,206004
800156,104009
800157,104010
800158,104011
800159,104012
800160,204005
800161,204006
800162,204007
800163,204008
800164,103018
800165,103019
800166,103020
800167,103021
800168,103017
800169,103017
800170,103017
800171,103017
800172,203009
800173,203010
800174,203011
800175,203012
800176,203008
800177,203008
800178,203008
800179,203008
800180,105006
800181,105007
800182,105008
800183,105009
800184,105005
800185,105005
800186,105005
800187,105005
800188,205008
800189,205009
800190,205010
800191,205011
800192,205007
800193,205007
800194,205007
800195,205007
600002,203013
600003,703011
600003,703012
