item_id _default value for weight is 0. list only items that must be synthesizable.,weight 
10610000,10000
10620000,10000
10620001,5000
10620002,5000
10620003,5000
10630000,10000
10630001,5000
10630002,5000
10630003,5000
10640001,10000
10640002,10000
10640003,10000
10640004,10000
10650001,10000
10650003,10000
10650005,10000
10650007,10000
10660000,10000
10660001,10000
10660002,10000
10660003,10000
10670000,10000
10670001,10000
10670002,10000
10670003,10000
10680000,10000
10680001,10000
10680002,10000
10680003,10000
10730000,10000
10730001,10000
10730002,10000
10730003,10000
10730004,10000
10730005,10000
10730006,10000
10730007,10000
10730008,10000
10740000,10000
10740001,10000
10740002,10000
10740003,10000
10740004,10000
10740005,10000
10740006,10000
10740007,10000
10740008,10000
10750000,10000
10750001,10000
10750002,10000
10750003,10000
10750004,10000
10750005,10000
10750006,10000
10750007,10000
10750008,10000
10760000,10000
10760001,10000
10760002,10000
10760003,10000
10760004,10000
10760005,10000
10760006,10000
10760007,10000
10760008,10000
10770001,10000
10770002,10000
10770003,10000
10770004,10000
10770005,10000
10770006,10000
10770007,10000
10770008,10000
10770009,10000
10780001,10000
10780002,10000
10780003,10000
10780004,10000
10780005,10000
10780006,10000
10780007,10000
10780008,10000
10780009,10000
40100004,10000
40100013,10000
40100014,10000
40100015,10000
40100016,10000
40100017,10000
40100024,10000
40100025,10000
40100028,10000
40100029,10000
40100036,10000
40100012,10000
40100018,10000
40100020,10000
40100021,10000
40100022,10000
40100023,10000
40100026,10000
40100027,10000
40100030,10000
40100031,10000
40100033,10000
40100035,10000
40100039,10000
40100040,10000
40100044,10000
40100045,10000
40100046,10000
40100047,10000
40100052,10000
40100053,10000
40100054,10000
40100060,10000
40100061,10000
