id,cost_ap,turn_limit,hp_additional,atk_additional,def_additional,cri_additional,hit_additional,spd_additional,background,bgm,item1,item1_ratio,item1_min,item1_max,item2,item2_ratio,item2_min,item2_max,item3,item3_ratio,item3_min,item3_max,item4,item4_ratio,item4_min,item4_max,item5,item5_ratio,item5_min,item5_max,item6,item6_ratio,item6_min,item6_max,item7,item7_ratio,item7_min,item7_max,item8,item8_ratio,item8_min,item8_max,item9,item9_ratio,item9_min,item9_max,item10,item10_ratio,item10_min,item10_max,min_drop,max_drop
1,5,150,0,0,0,0,0,0,chapter_01_01,bgm_yggdrasil_01,303000,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
2,5,150,0,0,0,0,0,0,chapter_01_02,bgm_yggdrasil_02,303000,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
3,5,150,4,4,4,0,4,4,chapter_01_03,bgm_yggdrasil_03,303000,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
4,5,150,4,4,4,0,4,4,chapter_01_01,bgm_yggdrasil_01,303000,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
5,5,150,0,0,0,0,0,0,chapter_01_01,bgm_yggdrasil_01,303100,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
6,5,150,0,0,0,0,0,0,chapter_01_02,bgm_yggdrasil_02,303100,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
7,5,150,0,0,0,0,0,0,chapter_01_01,bgm_yggdrasil_01,303000,0.5,5,5,303100,0.5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
8,5,150,0,0,0,0,0,0,chapter_01_02,bgm_yggdrasil_02,303000,0.5,5,5,303100,0.5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
9,5,150,0,0,0,0,0,0,chapter_01_01,bgm_yggdrasil_01,303200,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
10,5,150,0,0,0,0,0,0,chapter_01_03,bgm_yggdrasil_03,303000,0.1,5,5,303100,0.1,5,5,303200,0.1,5,5,306023,0.7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,5,5
