level,hp
1,127274479
2,254548959
3,381823438
4,509097918
5,636372398
6,763646877
7,890921357
8,1018195837
9,1145470316
10,1272744796
11,1400019276
12,1527293755
13,1654568235
14,1985481882
15,2316395529
16,2647309176
17,2978222823
18,3309136470
19,3722778529
20,4136420588
21,4550062647
22,4963704705
23,5515227450
24,6066750196
25,6618272941
26,7445557058
27,8272841176
28,9100125294
29,9927409411
30,11581977647
31,13462168823
32,15718398235
33,18350665882
34,21358971764
35,24743315882
36,28503698235
37,32640118823
38,37152577647
39,42041074705
40,47305610000
41,52946183529
42,58962795294
43,65355445294
44,72124133529
45,79268860000
46,86789624705
47,94686427647
48,102959268823
49,111608148235
50,120633065882
