"level","hp"
"1","4635542500"
"2","4635542500"
"3","4635542500"
"4","4635542500"
"5","4635542500"
"6","4635542500"
"7","4635542500"
"8","4635542500"
"9","4635542500"
"10","4635542500"
"11","4635542500"
"12","4635542500"
"13","4635542500"
"14","4635542500"
"15","4635542500"
"16","4635542500"
"17","4635542500"
"18","4635542500"
"19","4635542500"
"20","4635542500"
"21","4635542500"
"22","4635542500"
"23","4635542500"
"24","4635542500"
"25","4635542500"
"26","4635542500"
"27","4635542500"
"28","4635542500"
"29","4635542500"
"30","4635542500"
"31","4635542500"
"32","4635542500"
"33","4635542500"
"34","4635542500"
"35","4635542500"
"36","4635542500"
"37","4635542500"
"38","4635542500"
"39","4635542500"
"40","4635542500"
"41","4635542500"
"42","4635542500"
"43","4635542500"
"44","4635542500"
"45","4635542500"
"46","4635542500"
"47","4635542500"
"48","4635542500"
"49","4635542500"
"50","4635542500"
"51","4635542500"
"52","4635542500"
"53","4635542500"
"54","4635542500"
"55","4635542500"
"56","4635542500"
"57","4635542500"
"58","4635542500"
"59","4635542500"
"60","4635542500"
"61","4635542500"
"62","4635542500"
"63","4635542500"
"64","4635542500"
"65","4635542500"
"66","4635542500"
"67","4635542500"
"68","4635542500"
"69","4635542500"
"70","4635542500"
"71","4635542500"
"72","4635542500"
"73","4635542500"
"74","4635542500"
"75","4635542500"
"76","4635542500"
"77","4635542500"
"78","4635542500"
"79","4635542500"
"80","4635542500"
"81","4635542500"
"82","4635542500"
"83","4635542500"
"84","4635542500"
"85","4635542500"
"86","4635542500"
"87","4635542500"
"88","4635542500"
"89","4635542500"
"90","4635542500"
"91","4635542500"
"92","4635542500"
"93","4635542500"
"94","4635542500"
"95","4635542500"
"96","4635542500"
"97","4635542500"
"98","4635542500"
"99","4635542500"
"100","4635542500"
"101","9271085000"
"102","9271085000"
"103","9271085000"
"104","9271085000"
"105","9271085000"
"106","9271085000"
"107","9271085000"
"108","9271085000"
"109","9271085000"
"110","9271085000"
"111","9271085000"
"112","9271085000"
"113","9271085000"
"114","9271085000"
"115","9271085000"
"116","9271085000"
"117","9271085000"
"118","9271085000"
"119","9271085000"
"120","9271085000"
"121","9271085000"
"122","9271085000"
"123","9271085000"
"124","9271085000"
"125","9271085000"
"126","9271085000"
"127","9271085000"
"128","9271085000"
"129","9271085000"
"130","9271085000"
"131","9271085000"
"132","9271085000"
"133","9271085000"
"134","9271085000"
"135","9271085000"
"136","9271085000"
"137","9271085000"
"138","9271085000"
"139","9271085000"
"140","9271085000"
"141","9271085000"
"142","9271085000"
"143","9271085000"
"144","9271085000"
"145","9271085000"
"146","9271085000"
"147","9271085000"
"148","9271085000"
"149","9271085000"
"150","9271085000"
"151","9271085000"
"152","9271085000"
"153","9271085000"
"154","9271085000"
"155","9271085000"
"156","9271085000"
"157","9271085000"
"158","9271085000"
"159","9271085000"
"160","9271085000"
"161","9271085000"
"162","9271085000"
"163","9271085000"
"164","9271085000"
"165","9271085000"
"166","9271085000"
"167","9271085000"
"168","9271085000"
"169","9271085000"
"170","9271085000"
"171","9271085000"
"172","9271085000"
"173","9271085000"
"174","9271085000"
"175","9271085000"
"176","9271085000"
"177","9271085000"
"178","9271085000"
"179","9271085000"
"180","9271085000"
"181","9271085000"
"182","9271085000"
"183","9271085000"
"184","9271085000"
"185","9271085000"
"186","9271085000"
"187","9271085000"
"188","9271085000"
"189","9271085000"
"190","9271085000"
"191","9271085000"
"192","9271085000"
"193","9271085000"
"194","9271085000"
"195","9271085000"
"196","9271085000"
"197","9271085000"
"198","9271085000"
"199","9271085000"
"200","9271085000"
"201","18542170000"
"202","18542170000"
"203","18542170000"
"204","18542170000"
"205","18542170000"
"206","18542170000"
"207","18542170000"
"208","18542170000"
"209","18542170000"
"210","18542170000"
"211","18542170000"
"212","18542170000"
"213","18542170000"
"214","18542170000"
"215","18542170000"
"216","18542170000"
"217","18542170000"
"218","18542170000"
"219","18542170000"
"220","18542170000"
"221","18542170000"
"222","18542170000"
"223","18542170000"
"224","18542170000"
"225","18542170000"
"226","18542170000"
"227","18542170000"
"228","18542170000"
"229","18542170000"
"230","18542170000"
"231","18542170000"
"232","18542170000"
"233","18542170000"
"234","18542170000"
"235","18542170000"
"236","18542170000"
"237","18542170000"
"238","18542170000"
"239","18542170000"
"240","18542170000"
"241","18542170000"
"242","18542170000"
"243","18542170000"
"244","18542170000"
"245","18542170000"
"246","18542170000"
"247","18542170000"
"248","18542170000"
"249","18542170000"
"250","18542170000"
"251","18542170000"
"252","18542170000"
"253","18542170000"
"254","18542170000"
"255","18542170000"
"256","18542170000"
"257","18542170000"
"258","18542170000"
"259","18542170000"
"260","18542170000"
"261","18542170000"
"262","18542170000"
"263","18542170000"
"264","18542170000"
"265","18542170000"
"266","18542170000"
"267","18542170000"
"268","18542170000"
"269","18542170000"
"270","18542170000"
"271","18542170000"
"272","18542170000"
"273","18542170000"
"274","18542170000"
"275","18542170000"
"276","18542170000"
"277","18542170000"
"278","18542170000"
"279","18542170000"
"280","18542170000"
"281","18542170000"
"282","18542170000"
"283","18542170000"
"284","18542170000"
"285","18542170000"
"286","18542170000"
"287","18542170000"
"288","18542170000"
"289","18542170000"
"290","18542170000"
"291","18542170000"
"292","18542170000"
"293","18542170000"
"294","18542170000"
"295","18542170000"
"296","18542170000"
"297","18542170000"
"298","18542170000"
"299","18542170000"
"300","18542170000"
